reviewHeadline,authorJobLocation,reviewDescription,company,compensationAndBenefitsRating,authorJob,cultureAndValuesRating,workLifeBalanceRating,careerOpportunitiesRating,seniorLeadershipRating,reviewDate
environnemtent de travail agréable,"Paris, A8",je changée souvent d'agence c'était très agréable sa ma permis de rencontrée beaucoup de personne de milieu différent,BNP Paribas,0.0,"Auxiliaire de vacances 2 mois (Ancien employé), ",0.0,0.0,0.0,0.0,1 septembre 2013
Bon compromis,Combs-la-Ville,"Etant en alternance je n'ai pas eu de poste attitré, cependant j'ai eu l'occasion d'occuper le poste accueil dans différentes agences ainsi que le poste de conseiller, mes tâches ont été la vente de produit bancaire, tâches administratives, réalisation d’objectifs collectifs, phoning, projet d’étude sur l’optimisation des ventes d’un produit.,Les perspectives d'évolution sont le poste de conseiller particulier mais aussi pour les professionnels puis le management.,L'ambiance de travail y est agréable mis à part certains collaborateurs avec qui le courant passe moins bien,L'aspect le plus difficile est la gestion des incivilités ainsi que la pression commerciale étant cependant moins forte que dans d'autres agences bancaires.,L'aspect le plus agréable est le contact direct avec les clients ainsi que leur suivi.",BNP Paribas,4.0,"Conseillère clientèle (Ancien employé), ",4.0,4.0,3.0,4.0,18 août 2013
Ambiance de travail agréable.,NANCY,"Ma journée commençait à 06h45 pour se terminer à 18h30,19h00.,L'aspect le plus agréable était le relationnel tant avec mes collaborateurs qu'avec le service commercial ou mes supérieurs.",BNP Paribas,3.0,"Responsable de service (Ancien employé), ",3.0,5.0,4.0,4.0,30 juillet 2013
Tres bonne entreprise,97233,entreprise stable - bonne ambiance - bon coaching- possibilités d'evolution,BNP Paribas,4.0,"Guichetier - Auxiliaire de banque (Ancien employé), ",4.0,4.0,4.0,4.0,29 juillet 2013
Job d'été - première expérience,Nanterre,"premier job d'été, expérience intéressante, découverte du monde du travail",BNP Paribas,3.0,"Auxiliaire de vacances (Ancien employé), ",3.0,3.0,3.0,3.0,10 juillet 2013
Une grande implication du groupe pour ses salariés.,Paris 5,"Nombreux sont les avantages sur cette banque. Disposant de moyens et d'outils pertinents dans la gestion du personnel.,Une sécurisation des emplois est observée au sein de cette firme. Une stratégie d'entreprise cohérente.",BNP Paribas,5.0,"Chargé d'accueil et assistant expert crédit (Ancien employé), ",5.0,5.0,5.0,5.0,9 juillet 2013
Environnement riche,Paris,"De bonnes choses et une période assez longue, riche soit sur le plan fonctionnel que sur le plan technique.",BNP Paribas,1.0,"Réalisation d'un outil d'aide à la décision (Ancien employé), ",4.0,4.0,5.0,4.0,26 juin 2013
Environnement de travail agréable,"Paris, A8","Travail avec une équipe de 9 commerciaux,Collaboration avec les équipes de BNP PARIBAS à l'international",BNP Paribas,4.0,"Appui commercial, Large Corporate, B to B (Ancien employé), ",3.0,3.0,3.0,3.0,18 juin 2013
Une journée au sein d'une agence BNP Paribas,Antony,"Le matin s'est convivial, tous les collaborateurs se réunissent le temps d'un café pour discuter.,Au moment de l'ouverture de l'agence tous les conseillers sont à leur poste pour accueillir au mieux les clients, pendant que certains traitent leurs débiteurs et leurs Mails, d'autre sont déjà en rendez-vous, pendant que le poste accueil est réactif pour servir le plus rapidement possible les clients. Certains désaccords avec les clients qu'il faut savoir gérer au mieux dans l'intérêt du client mais aussi de l'image du groupe.,La pause déjeuner arrivé tous les collaborateurs se reunissent pour la plupart pour débattre sur leur matinée mais pas trop ( secret professionnel oblige).,Fin de la pause, la journée reprend son court jusqu'à la fermeture de l'agence.,Une fois par semaine deux réunions sont organisées: une collectivement pour connaitre les objectifs de l'agence et l'autre individuellement avec le directeur d'agence pour faire le point sur ses objectifs, sur les points à améliorer et pour donner son recenti à propos du poste occupé et des possibilités d'évolution.",BNP Paribas,5.0,"Chargé d'accueil (Ancien employé), ",4.0,5.0,5.0,4.0,29 mai 2013
Expérience enrichissante,Pont-à-Celles et Luttre,"Année très enrichissante au niveau des rencontres et de l'apprentissage de ce métier.,Bon environnement de travail avec beaucoup d'avantages sociaux.,Bonne entente avec les différents collègues.,Formation très présente et utile pour conseiller au mieux la clientèle.,Possibilité d'évolution de carrière.",BNP Paribas,5.0,"Conseiller Commercial (Ancien employé), ",4.0,4.0,3.0,3.0,22 mars 2013
L'aspect de plus agréable du poste,Decazeville,"Travaillez en proximité avec mes clients et collaborateurs,Anticiper les besoins et être source de proposition en respectant la primauté et les intérêts de nos clients.,Se faire recommander,La prospection commerciale,Le management de proximité, en accompagnant les collaborateurs vers de bons résultats",BNP Paribas,4.0,"Directeur d'agence (Employé actuel), ",3.0,3.0,4.0,3.0,25 février 2013
environnement de travail agréable,Paris 10,poste intéressant avec beaucoup de formations. bonne entente avec les collégues malgré une surcharge de travail.,BNP Paribas,0.0,"Gestionnaire Crédits Structurés (Ancien employé), ",0.0,0.0,0.0,0.0,6 juillet 2015
Bonne équipe,valence (26),"Gestion de lot (environ 800 à 1000), gestion des locataires et des propriétaires.,Répondre au téléphone, mail, courrier dans les plus brefs délais. Savoir être patient, avoir une base de connaissance en informatique et en immobilier.,Le plus dur et le mécontentement des clients qui peuvent être parfois dur dans leur parole.,Le plus agréable, reste le retour positif des clients après leur avoir rendu un service ou répondu à leur attente.",BNP Paribas,4.0,"gesttionnaire immobilier (Ancien employé), ",2.0,3.0,2.0,2.0,25 février 2013
ENVIRONNEMENT DE TRAVAIL AGREABLE,SAINT OUEN,BONNE AMBIANCE DE TRAVAIL MAIS ORGANISATION ET TACHES DE TRAVAIL MAL REPARTIS,BNP Paribas,4.0,"ASSISTANT DE GESTION (Ancien employé), ",4.0,5.0,4.0,4.0,15 février 2013
Environnement de travail passable,La Défense,"La moyenne d'âge des employés étant assez élevée (55ans), la culture d'entreprise reste ""vieux jeux""",BNP Paribas,3.0,"Assistant technicien crédit documentaire (Employé actuel), ",3.0,3.0,4.0,3.0,10 janvier 2013
travail agréable,nanterre,"Je suis tarificatrice, plus précisément j'assure le client par rapport a son état de santé pour son assurance de prêt. nous avons des objectifs à remplir par jour. l'aspect le plus agréable sur mon poste est la diversité des dossiers et des contrats que j'étudie.",BNP Paribas,4.0,"tarificateur (Ancien employé), ",3.0,3.0,4.0,1.0,3 décembre 2012
Environnement de travail agréable,Tournefeuille (31),"Travaillant en équipe au sein d'une agence, j'ai eu la chance de rencontrer des personnes qui ont véritablement fait l’effort de me former, de partager leurs expériences pour finalement me considérer comme un de leur collaborateur à part entière.",BNP Paribas,0.0,"Conseiller en Patrimoine Financier (Ancien employé), ",0.0,0.0,0.0,0.0,29 novembre 2012
organisation du travail autonome,Liège,"L'organisation d'une journée de travail est assez libre. Le travailleur est autonome dans son organisation et peut gérer son temps de travail selon un horaire assez souple et flottant. de plus, il est permis de cumuler des heures supplémentaires pour ceux qui sont intéressés, il est aussi permis de démarrer sa journée tôt afin de la terminer tôt dans l'après-midi. La formation est continue et très accessible. Les équipes sont très variées et bien organisées. Il n'y avait pas de point difficiles dans ma fonction si ce n'est de dépendre d'autres personnes dans certaines circonstances. Le plus agréable était de pouvoir créer des documents afin de faciliter le travail d'autres collaborateurs moins à leur aise avec l'outils informatique.",BNP Paribas,3.0,"employé administratif (Ancien employé), ",4.0,5.0,2.0,4.0,18 octobre 2012
Bnp,Paris,"Travail a temps partiel, mais très intéressant . tout ce qui est l'accueil dans client, leur donner un badge pour l'entrer dans le bâtiment dans la BNP",BNP Paribas,3.0,"Hôtesse d'accueil (Ancien employé), ",3.0,3.0,3.0,3.0,21 septembre 2012
environnement de travail agreable,nice,bon ambiance au sein de l'agence .clieNT AGEABLE PRODUITS ATTRACTIFS,BNP Paribas,5.0,"chargéé d'accueil client (Ancien employé), ",5.0,3.0,3.0,3.0,16 septembre 2012
"Bonne société, évolution pas toujours évidente",IDF,"La BNP est une grosse société, avec énormément d'avantages (primes, PEE, CE, cantine...).,Il y a une réelle sécurité de l'emploi.,Le bémol concerne les mobilités internes et évolutions, qui sont longues et pas toujours simples.",BNP Paribas,4.0,"Responsable Patrimoine (Employé actuel), ",3.0,4.0,4.0,2.0,10 août 2012
Bonne expèrience professionnelle,Marseille,"Tâches effectuées :,Scanner les chèques,,Accueillir le client,,Faire des virements,,Donner des carte bleues reçues classées par date de délivrance,,Répondre aux appels téléphoniques.",BNP Paribas,4.0,"hôtesse d'accueil (Ancien employé), ",4.0,4.0,4.0,4.0,27 juin 2012
un travail qui permet l'équilbre vie professionnelle et familiale,Var,"Trop de pression commerciale,Management impersonnel,Par contre beaucoup d'avantages sociaux et des horaires corrects",BNP Paribas,3.0,"conseiller clientèle particuliers (Employé actuel), ",0.0,4.0,4.0,1.0,7 juin 2012
Environnement de travaille agréable,Nanterre,"L'équipe de la direction immobilière de BNP Paribas Cardif est composée de personnes dynamique et professionnelle.,L'ambiance de travail est très agréable.,Les collaborateurs évoluent dans un environnement ou la coopération et la concertation sont des valeurs essentiel du management de projet.",BNP Paribas,5.0,"Assistant au conseil technique (Ancien employé), ",5.0,5.0,5.0,4.0,21 mai 2012
Mitigé,Mons,"Une entreprise leader sur le marché mais qui n'embauche pas les ""bons"" profils. En effet, l'entreprise ne fait pas de rétention des bons talents et ne propose pas un des opportunités d'évolutions comme cela est dit à l'embauche.,Par contre, bon équilibre entre vie privée et vie professionnelle.",BNP Paribas,2.0,"Financial advisor (Employé actuel), ",2.0,4.0,1.0,2.0,19 mai 2016
Environnement de travail agréable,EL jadida,La culture d'entreprise et le potentiel d'évolution de carrière.,BNP Paribas,0.0,"Stage au sein de la BMCI (Ancien employé), ",0.0,0.0,0.0,0.0,18 mars 2016
Il y a plus de 17ans que j'ai quitté,Brussels,Mon avis sur BNP ne peut être pris en compte car expérience de six mois il y a plus de 17ans...,BNP Paribas,3.0,"stagiaire ONEM (Ancien employé), ",3.0,3.0,4.0,3.0,15 mars 2016
Environnement,"Braine-l'Alleud, WAL","J'ai bien aimé le cadre de l'entreprise, le fait de voir du monde tout autour de soi. On ne se sent pas seul, ni délaissé.",BNP Paribas,4.0,"Employé administratif (Ancien employé), ",3.0,3.0,4.0,4.0,26 janvier 2016
Esprit d'équipe,"Brussels, BRU",L'exécution des tâches est rendue optimale grâce à la collaboration des membres de l'équipe.,BNP Paribas,5.0,"ASSISTANTE PERMANENT CONTROL-CONTROL MONITORING (Ancien employé), ",5.0,5.0,5.0,5.0,2 décembre 2015
Le management,Maroc,"Très à l'écoute des initiatives personnelles, fédérateur et motivant .veillant au bien être des collaborateurs.",BNP Paribas,3.0,"Responsable Contrôle de gestion /filiale Leasing (Ancien employé), ",3.0,3.0,3.0,3.0,9 novembre 2015
Work place,"Montréal, QC","Great company to work for. ,Multiculture environment,International experience",BNP Paribas,5.0,"Senior Loan administrator - USA BRANCHES (Ancien employé), ",5.0,5.0,5.0,5.0,26 octobre 2015
Bon environnement de travail,"Genève, GE",Job permettant d'avoir un un très bon aperçu du métier de compliance officer grâce aux différentes tâches  diversifiées pris en charge. Challenge permanent et opportunité de développement des connaissances.,BNP Paribas,0.0,"Compliance Officer Wealth Management (Employé actuel), ",0.0,0.0,0.0,0.0,14 octobre 2015
environnement de travail agréable,Paris 10,poste intéressant avec beaucoup de formations. bonne entente avec les collégues malgré une surcharge de travail.,BNP Paribas,0.0,"Gestionnaire Crédits Structurés (Ancien employé), ",0.0,0.0,0.0,0.0,6 juillet 2015
Environnement de travail et culture d'entreprise,"London, ENG",Cette entreprise n'existe plus car rachetee par le groupe Credit Agricole. Elle se distinguait par une culture d'entreprise forte et offrait a ses employees un equilibre personnel et professionnel,BNP Paribas,4.0,"Secrétaire Général du Trading des Taux (""COO"") (Employé actuel), ",4.0,4.0,4.0,4.0,16 septembre 2015
très agréable,Bruxelles Capitale,aspect commercial est devenu administratif car le client en était demandeur,BNP Paribas,5.0,"Déléguée administrative polyvalente (Ancien employé), ",5.0,5.0,5.0,5.0,10 septembre 2015
avis personnel,"Brussels, BRU","Ayant été externe dans cette entreprise pendant + de 6.5 ans, je n'ai pas aimé être prévenu de la fin de contrat quelques jours avant la fin",BNP Paribas,4.0,"Head of Intercompany Reconciliation (Ancien employé), ",3.0,4.0,1.0,3.0,12 juin 2015
Entreprise agréable,"Brussels, BRU","Le travail est repartie entre chaque travailleur de part égal.,Le management est strict mais ouvert.,Collaborateurs accueillant.,Toujours la même chose, classer ranger, trier.",BNP Paribas,5.0,"Agent administratif (Ancien employé), ",5.0,3.0,3.0,5.0,1 mai 2015
Environnement de travail agréable,"New York, NY","Environnement de travail agréable.,Bon esprit d'équipe.,Adaptation tres rapide à un nouvel environnement de travail.,Opportunités de développement",BNP Paribas,0.0,"Cash Management (Ancien employé), ",0.0,0.0,0.0,0.0,23 avril 2015
pas assez de responsabilités,Paris 1,"BNPP est une bonne école de formation, mais ensuite elle ne permet d'exprimer les qualités de chacun.",BNP Paribas,1.0,"Analyste crédit Grands comptes (Employé actuel), ",1.0,2.0,2.0,2.0,13 avril 2015
Vie au sein de sécurities services,"Milano, LOM","Très bonne ambiance, les ressources humaines s'efforcent à maintenir une atmosphère dynamique en introduisant du personnel relativement jeune. Managers très motivés et qui vous poussent à toujours chercher l'innovation. En revanche, très faible prospective de développement professionnel et travail relativement mécanique, ce qui peut rendre certaines journées assez dures.",BNP Paribas,3.0,"Internship, NAV Control (Ancien employé), ",2.0,5.0,1.0,2.0,13 avril 2015
Environement et collègues agréable,FR,"Belle expérience professionnelle.,Travaille intéressant et varié.,Contact quotidien avec mes collègues et les clients",BNP Paribas,0.0,"Collaboratrice Crédits Documentaires (Employé actuel), ",0.0,0.0,0.0,0.0,26 mars 2015
Très professionnel,"London, ENG",L'équipe Corporate Finance de BNP Paribas est très expérimentée et internationale ce qui en fait un acteur incontournable du M&A en France,BNP Paribas,3.0,"Département Corporate Finance - Analyste (Ancien employé), ",5.0,3.0,4.0,4.0,5 mars 2015
Environnement de travail agréable,Belgique ; Bruxelles,"les horaires était assez flexibles et les taches demandées étaient faites dans une bonne ambiance . le management est très sympathique . le plus difficile était la période dans laquelle j'ai travaillé c'est à dire l'été . l'équipe à l'écoute en cas de soucis , des employés agréables.",BNP Paribas,4.0,"bureautique et gestion (Ancien employé), ",5.0,4.0,5.0,4.0,18 janvier 2015
environnement agréable,bruxelles,"équipe agréable.,travail varié,environnement agréable,beaucoup de concentration,management agréable,e-mail , téléphone",BNP Paribas,3.0,"Employée support technique Facility management (Ancien employé), ",4.0,4.0,4.0,4.0,15 décembre 2014
Très bon cadre de travail,Dakar sénégal,"Le cadre de travail est agréable, les collègues se sont montrés très chaleureux.",BNP Paribas,4.0,"Stagiaire à la BICIS (Ancien employé), ",5.0,4.0,4.0,4.0,17 novembre 2014
Analyste comptable,Montréal,"Bon employeur en générale.,Banque française très hiérarchisé.,Possibilité d'avancement limité",BNP Paribas,0.0,"Analyste comptable trésorerie (Ancien employé), ",0.0,0.0,0.0,0.0,15 octobre 2014
bonne école,"Charleroi, WAL","Entreprise qui permet de développer des compétences et d'en acquérir d'autres.,L'aspect le plus agréable est le contact et le conseil client.,L'aspect le moins agréable est la pression commerciale.,Possibilité de formation et d'évolution.",BNP Paribas,3.0,"Conseiller commercial BNP PARIBAS FORTIS (Employé actuel), ",3.0,4.0,3.0,3.0,25 juillet 2014
Avis,Bruxelles,La négociation téléphonique FR/NL/PT pour la régularisation de l'échéancier financier des crédits directs d'un portefeuille de € 9.000.000 en équipe a été un réel défi relevé dans le respect des objectifs imposés.,BNP Paribas,3.0,"Attaché Commercial au recouvrement crédit direct (Ancien employé), ",3.0,4.0,2.0,3.0,2 juillet 2014
cadre de travail professionnelle,ALGERIE,"entreprise professionnelle et internationale connaissance,difficulté de changement de service",BNP Paribas,2.0,"Chargée de fonction administrative (Ancien employé), ",4.0,3.0,4.0,4.0,18 juin 2014
Le mailleur comme le pire!,"Kirchberg, L0L","Mon expérience au sein de BNP Paribas en qualité de juriste financier, aux côtés de collaborateurs expérimentés, a été enrichissante et très formatrice. Humainement, j’en garde un excellent souvenir.,Le groupe BNP Paribas développe une politique responsable en matière de respect de l’environnement, de l’égalité des salaires, de l’intégration des travailleurs handicapé, qui font la respectabilité et l’honneur du groupe.,Le groupe BNP Paribas entend veiller scrupuleusement au respect de la réglementation bancaire et financière des juridictions dans lesquelles elle est présente.,Le groupe offre aussi de nombreux avantages à ses employés (cantine d'entreprise, avantages tarifaires pour les services, formations, gratifications, etc.), toutefois, les employés précaires (stagiaires, V.I.E., CDD, apprentis) n'en bénéficient pas. Il y a là un traitement inégalitaire des employés.,La gérance dans les filiales et les succursales est beaucoup plus critiquable, et la politique du groupe n’y pas appliquée convenablement, voire ignorée. Quelques responsables, au pouvoir de décision limité, peuvent exercer des pressions sur le personnel afin que leurs erreurs de gestion de la ressource humaine (erreur d’affectation) ne fassent pas l’objet de contestations.,Ces attitudes, certes exceptionnelles, gâchent la motivation et l’implication de nombreux collaborateurs motivés et ambitieux.,En outre, l’interdiction d’exercice dont BNP est l’objet en Argentine, les sanctions qui pourraient être prononcées par l’Administration des Etats-Unis d’Amérique, mettent en évidence de graves dysfonctionnements,",BNP Paribas,2.0,"Chargé d’Etudes Juridiques et Fiscales (Ancien employé), ",1.0,3.0,2.0,1.0,8 juin 2014
Jeunes diplomés,Bulgaria,"Soyez plus ouverts aux jeunes candidats qui manquent d'experience, ils peuvent aussi ajouter de la valeur à l'entreprise.",BNP Paribas,0.0,"Stage (Ancien employé), ",0.0,0.0,0.0,0.0,28 avril 2014
VIE Luxembourg,Luxembourg,"Bonne expérience mais aucune évolution possible au sein de l'entreprise, déçu du manque de considération concernant notre avenir professionnel.",BNP Paribas,3.0,"VIE - Commercial Support Officer (Employé actuel), ",4.0,5.0,2.0,3.0,15 avril 2014
Environnement de travail très agréable,"Brussels, BRU","Les opportunités pas nombreuses car CDD,Bonne structure de travail et d'évolution,L'aspect le plus difficile était de savoir que ce ne serait jamais a l'on terme,J'ai énormément appris au sein de la socièté",BNP Paribas,5.0,"Fonction employée (Ancien employé), ",4.0,4.0,5.0,3.0,17 mars 2014
environnement de travail agréable,Paris 10,poste intéressant avec beaucoup de formations. bonne entente avec les collégues malgré une surcharge de travail.,BNP Paribas,0.0,"Gestionnaire Crédits Structurés (Ancien employé), ",0.0,0.0,0.0,0.0,6 juillet 2015
la vie de travail,"Brussels, BRU",mon travail était simple mais il prenait énormément du temps,BNP Paribas,4.0,"Etudiant administratif (Ancien employé), ",4.0,4.0,5.0,3.0,6 mars 2014
Bon environnement de travail,"Genève, GE","Exécution des ordres des clients. Gestion des comptes. Suivi et renouvellement des échéances. Préparation des visites clients, génération des rapports. Création des valeurs, exécution des ordres de bourse.",BNP Paribas,4.0,"Management Assistant (Ancien employé), ",3.0,3.0,2.0,1.0,27 février 2014
Une année chez BNP Paribas,GE,"J'ai travaillé chez BNP Paribas avec le sourire tous les jours, le travail en lui-même me plaisait énormément et le contact avec mes collègues était vraiment superbe. Il fallait être très concentré pour ce poste mais nous savions faire la parent des choses.",BNP Paribas,4.0,"Back Office Transferts (Ancien employé), ",5.0,5.0,3.0,4.0,25 février 2014
Organisation,"Brussels, BRU","Organisation en plein changement .,Situation très complexe pour une vision de travail long terme .,Restructuration en vue .",BNP Paribas,3.0,"Expert project Development Media (Ancien employé), ",2.0,3.0,2.0,1.0,16 février 2014
Avis sur BNP-Paribas,"Brussels, BRU","Bonne gestion du département 'corporate Building' par le responsable, travail varié sur différents logiciels CAO et graphiques",BNP Paribas,3.0,"Dessinateur CAO-DAO (Ancien employé), ",4.0,4.0,2.0,4.0,27 janvier 2014
possibilité d'évolution de carrière,Bruxelles,"- salaire correct,- horaires corrects,- chèques repas,- chèques éco et St Nicolas,- jours de congé,- assurance groupe,- assurance hospitalisation,- formation permanente,- possibilité d'évolution dans l'entreprise",BNP Paribas,5.0,"Conseiller clientèle professionnelle (Ancien employé), ",4.0,5.0,4.0,3.0,15 janvier 2014
Environnement agréable,"Genève, GE","Environnement agréable,Très bonne convivialité,Travail très intéressant",BNP Paribas,5.0,"Client on Boarding Task force KYC (Ancien employé), ",5.0,5.0,5.0,5.0,13 janvier 2014
Potentiel d'évolution,Bruxelles,Entreprise dynamique qui pourrait encore plus se développer dans les opportunités de développement pour ses collaborateurs et pour s'adapter aux changements du monde financier.,BNP Paribas,4.0,"Credit Officer (Ancien employé), ",1.0,5.0,3.0,2.0,6 janvier 2014
Environnement professionnel gratifiant,Genève,En tant qu'employé de la banque nous avons pleines de possibilités d'évoluer et progresser dans la cadre professionnelle en se format dans de différents domaines. Pour mettre en valeur le travail des collaborateur la banque organise souvent les soirées personnelles et la fête de Noël pour les enfants des collaborateurs.,BNP Paribas,0.0,"Assistante de gestion (Ancien employé), ",0.0,0.0,0.0,0.0,22 novembre 2013
Environnement de travail agréable,"Genève, GE","Dans des locaux parfaitement entretenus, BNP Paribas Genève se situe en plein coeur de la ville, dans le quartier des banques. Travaillant de 8h à 17h30 et bénéficiant d'une pause de deux heures pour manger, l'ambiance y est agréable, les collaborateurs sont à l'écoute et participent directement à la formation de jeunes stagiaires.",BNP Paribas,5.0,"Stage d'été en entreprise (Ancien employé), ",5.0,5.0,5.0,5.0,25 octobre 2013
Pas mon monde,"Brussels, BRU",Je travaille principalement dans le monde de l'immobilier; secteur qui n'est pas suffisamment développé.,BNP Paribas,0.0,"Team Manager REPM Bru/South (Employé actuel), ",0.0,0.0,0.0,0.0,9 octobre 2013
Employeur,Paris,"En tant que contrôleur de gestion / contrôleur financier cette expérience s'est très bien passée. L'environnement de travail est excellent.,Le management et les collaborateurs travaillent efficacement.",BNP Paribas,4.0,"Financial Controller - Financial Department (Employé actuel), ",4.0,4.0,4.0,4.0,24 septembre 2013
BNP,"Brussels, BRU","Le travail est trop divisé, on n'est qu'un maillon d'une très grande chaîne.,Peu de chance d'évolution.",BNP Paribas,5.0,"Credit Officer (Employé actuel), ",4.0,4.0,2.0,2.0,29 août 2013
Environnement de travail agréable,Luxembourg,"Environnement de travail agréable, poste intéressant car requiert l'interaction avec d'autres services",BNP Paribas,0.0,"Analyst KYC/Anti Money Laundering (Ancien employé), ",0.0,0.0,0.0,0.0,14 juillet 2013
Le travail en agence,Bruxelles,"Le travail en agence peut être aussi agréable que diversifié. Il faut inclure le guichet pour un tier du temps, le conseil en tête à tête avec les clients, la gestion logistique (cash, ATM, etc) et régulièrement des formations permettant d'étendre ses connaissances du réseau et ses contacts avec collègues d'autres agence ou départements.,Une fois par semaine, on prend part à un meeting pour mise au point et compte rendu.,Sur le plan relationnel, les collaborateurs étaient particulièrement sociables. L'ouverture et l'humour sont des recettes importantes pour la cohésion d'une équipe.",BNP Paribas,3.0,"Conseiller Commercial (Ancien employé), ",4.0,4.0,2.0,3.0,21 février 2013
Entre deux pôles,Bruxelles,"Niveau horaire rien à redire, ils donnent la possibilité de mener une carrière tout en maintenant une vie de famille. Les collègues sont toujours là pour donner un coup de main ou encore un conseil si besoin est. Patron y compris,,L'équipe est gérée de main de maître ce qui permet d’alléger les tâches les plus compliquées, principalement lorsque le temps vient à faire défaut.,Le point positif est que la tâche à réaliser est à portée de main de tous, que l'on soit bilingue ou non. Cependant l'environnement bruyant pourrait en refroidir certains ou certaine (principalement au service scanning, les autres postes comme l'encodage sont quand à eux irréprochables et vraiment plaisant).",BNP Paribas,3.0,"Intérimaire (Ancien employé), ",3.0,4.0,2.0,4.0,3 octobre 2012
Environnement de travail très agréable,Bruxelles,"- Des journées de travail intenses avec une forte pression commerciale,- Des challenges constants,- Management très rigide,- Des collègues très compétents ce qui allège un temps soi peu la tâche,- Beaucoup de tâches à accomplir en peu de temps,- Le contact avec la clientèle",BNP Paribas,3.0,"Conseiller Commercial professionnel (Employé actuel), ",2.0,4.0,4.0,3.0,25 juillet 2012
Interesting first experience,Paris (75),My internship at BNP Paribas Securities Services as market data analyst allowed me to become familiar with leading financial providers and to build a market view on securities specificities.,BNP Paribas,0.0,"Data Analyst (Ancien employé), ",0.0,0.0,0.0,0.0,11 mai 2016
Nice people to work with,"Paris, France","Business and production focus,people are pleasant to work with,A day of business is pretty hectic lots of things going on ,I learn all technology that is not use anymore ETI on Unix",BNP Paribas,4.0,"BI Analyst/Developer (Employé actuel), ",4.0,3.0,3.0,4.0,13 mars 2016
Bancario in perioda di crisi,Saint-Quentin (02),"Incontri con le imprese clienti e prospetti,Seguito dei loro progetti e dei fabbisogni finanziari,Creazione e seguito dei dossier di finanziamento,Gestione del rischio di credito (conti correnti),Proposta delle diverse offerte di BNP Paribas (leasing, factoring, private banking),Offerta di servizi di gestione dei flussi di fatturato,Ricerca di soluzioni d'incremento del PNB",BNP Paribas,0.0,"Bancario inprese (Ancien employé), ",0.0,0.0,0.0,0.0,8 mars 2016
environnement de travail agréable,Paris 10,poste intéressant avec beaucoup de formations. bonne entente avec les collégues malgré une surcharge de travail.,BNP Paribas,0.0,"Gestionnaire Crédits Structurés (Ancien employé), ",0.0,0.0,0.0,0.0,6 juillet 2015
very professional team in RBL financing,Paris (75),I have spent a very good internship with the company and then hired. the most enjoyable part of job is facing world class clients and companies.,BNP Paribas,0.0,"Technical Analyst (Employé actuel), ",0.0,0.0,0.0,0.0,21 février 2016
Clear tasks assigned,Paris,"Clear job assignment and possible paths of progression defined; hence, it makes easier to focus on our job area and good organization skills avoid heavy work load.",BNP Paribas,4.0,"Credit Analyst (intern) (Ancien employé), ",3.0,4.0,4.0,3.0,29 août 2015
Great internship for young student,"Montreuil, FRANCE","Learned to developed usefull tools for co-workers.,Worked in a team.,Participated on brainstorming workshop.,It was a nice place to work during 4 months,really nice people.",BNP Paribas,4.0,"Software Developer (Ancien employé), ",3.0,4.0,3.0,3.0,2 août 2015
IRP : a place where you'll like to work,Paris,"Working in BPSS, in the IRP service is my first real experience in the financial world.,In this job I am in constant interaction with the operational teams. The pressure is at its top during production pikes, usually at the end or beginning of each month. ,This has tought me how to work fast, quickly identify a problem and solve it, follow up with the clients/analysts if the correction fits their needs.,What I like the most is that this place is results oriented, as long as you get the job done and good, you'll be well considered.",BNP Paribas,4.0,"Business Analyst in App and  Prod Support (Employé actuel), ",4.0,4.0,4.0,3.0,26 juillet 2015
Analyst of financial indicators,PARIS,"Analysing of financial indicators and sending report to the managers.,At least once a month I have to do a PowerPoint presentation of the most important analyzes in front of several managers. During this presentation I have to explain and justify what will be my next analyzes and my further ideas.,Then I have to implement those analyzes using SAS and VBA to make it easier for random users.",BNP Paribas,5.0,"Analyst (Ancien employé), ",5.0,5.0,5.0,5.0,23 juin 2015
International client overview,"Paris, A8","Especially in charge of producting all final clients business reportings for all CIB department in BNP Paribas (APAC, EMEA, EUROPE, ..)",BNP Paribas,3.0,"Business analyst & Client reporting analyst (Employé actuel), ",3.0,3.0,3.0,2.0,27 mai 2015
Typical Day,"Paris, A8","My job is interesting because I am always busy solving complex issues. ,There are always new situations and challenging tasks coming on my way on daily basis. ,The hardest part of my job is when management is not available or is not responding quick enough when I submit to them clients requests.  I have to face the client and justify why we cannot execute their needs the way they want to.,The most enjoyable part of the job is our clients satisfation and positive feedback. I am feeling happy when the customer appreciate my efforts.,My co-workers are fun to work with. We are a fun and happy team",BNP Paribas,4.0,"Investor Services - Cash Management (Employé actuel), ",2.0,5.0,1.0,3.0,24 mai 2015
Big company with a willing of transmission of knowledge,Paris,"Checking emails for any issues with customers or international entities of the group,find opportunities for a new bank product and opportunities of a new market,creation of a commercial kit to enroll new partners for the BNP Alliance worldwide.,Learned how to manage my work when I have a lot of subjects and kind of work different, how to work with other people and how to control stress when the work load is important",BNP Paribas,5.0,"Assistant Product Manager (Ancien employé), ",4.0,4.0,5.0,4.0,4 mai 2015
international and pleasant workplace,paris,The job at BNP was very pleasant and very interesting .I worked with  dynamic and young co workers and I managed my own time indepently.I had to be very pro active .,BNP Paribas,3.0,"Senior syndicated Loan Analyst (Ancien employé), ",5.0,5.0,5.0,4.0,4 mai 2015
