authorJobLocation,reviewHeadline,reviewDescription,reviewDate,authorJob,company
"Simões Filho, BA",,EMPRESA BOA DE SE TRABALHAR POREM NÃO TEM PLANO DE CARREIRA .,23 octobre 2012,OPERADOR ALPHAGAZ E ANALISTA ...,Air Liquide
sagunto,,"tenia muy buenos compañeros. las jornadas eran largas. aprendi a tomar iniciativas. sobre la direccion o gerencia, tenian muy mal organizado el trabajo. no tenia parte dificil, y lo que mas me gusto del puesto, el trabajo en si, y tenia un buen sueldo",6 juillet 2012,conductor cisterna,Air Liquide
"Paris, France",,"Business and production focus,people are pleasant to work with,A day of business is pretty hectic lots of things going on ,I learn all technology that is not use anymore ETI on Unix",13 mars 2016,BI Analyst/Developer,BNP Paribas
Paris (75),,My internship at BNP Paribas Securities Services as market data analyst allowed me to become familiar with leading financial providers and to build a market view on securities specificities.,11 mai 2016,Data Analyst,BNP Paribas
Paris (75),,I have spent a very good internship with the company and then hired. the most enjoyable part of job is facing world class clients and companies.,21 février 2016,Technical Analyst,BNP Paribas
Paris,,"Clear job assignment and possible paths of progression defined; hence, it makes easier to focus on our job area and good organization skills avoid heavy work load.",29 août 2015,Credit Analyst (intern),BNP Paribas
"Montreuil, FRANCE",,"Learned to developed usefull tools for co-workers.,Worked in a team.,Participated on brainstorming workshop.,It was a nice place to work during 4 months,really nice people.",2 août 2015,Software Developer,BNP Paribas
Paris,,"Working in BPSS, in the IRP service is my first real experience in the financial world.,In this job I am in constant interaction with the operational teams. The pressure is at its top during production pikes, usually at the end or beginning of each month. ,This has tought me how to work fast, quickly identify a problem and solve it, follow up with the clients/analysts if the correction fits their needs.,What I like the most is that this place is results oriented, as long as you get the job done and good, you'll be well considered.",26 juillet 2015,Business Analyst in App and  Prod Support,BNP Paribas
PARIS,,"Analysing of financial indicators and sending report to the managers.,At least once a month I have to do a PowerPoint presentation of the most important analyzes in front of several managers. During this presentation I have to explain and justify what will be my next analyzes and my further ideas.,Then I have to implement those analyzes using SAS and VBA to make it easier for random users.",23 juin 2015,Analyst,BNP Paribas
"Paris, A8",,"Especially in charge of producting all final clients business reportings for all CIB department in BNP Paribas (APAC, EMEA, EUROPE, ..)",27 mai 2015,Business analyst & Client reporting analyst,BNP Paribas
"Paris, A8",,"My job is interesting because I am always busy solving complex issues. ,There are always new situations and challenging tasks coming on my way on daily basis. ,The hardest part of my job is when management is not available or is not responding quick enough when I submit to them clients requests.  I have to face the client and justify why we cannot execute their needs the way they want to.,The most enjoyable part of the job is our clients satisfation and positive feedback. I am feeling happy when the customer appreciate my efforts.,My co-workers are fun to work with. We are a fun and happy team",24 mai 2015,Investor Services - Cash Management,BNP Paribas
Paris,,"Checking emails for any issues with customers or international entities of the group,find opportunities for a new bank product and opportunities of a new market,creation of a commercial kit to enroll new partners for the BNP Alliance worldwide.,Learned how to manage my work when I have a lot of subjects and kind of work different, how to work with other people and how to control stress when the work load is important",4 mai 2015,Assistant Product Manager,BNP Paribas
paris,,The job at BNP was very pleasant and very interesting .I worked with  dynamic and young co workers and I managed my own time indepently.I had to be very pro active .,4 mai 2015,Senior syndicated Loan Analyst,BNP Paribas
"Paris, A8",,"I believed this internship was a life time experience.,I want to learn more about Finance, understand the finance world and be able to analyze but also be a decision maker for the good of my company.",30 avril 2015,BANK CASHIER,BNP Paribas
"Paris, A8",,I'am an open minded person ; this quality is important to deal with colleagues and understand quickly what your boss is expecting from you.,21 avril 2015,Project Management Officer,BNP Paribas
"Paris, A8",,This is a great Bank that offers many opportunities to move forward and improve. Highly experienced and skilled team! I loved working there.,15 avril 2015,Business Banker,BNP Paribas
"Paris, A8",,"During this internship, my job has been divided into two main missions. In the first one, I was in charge to participate to the setting up of a box allowing us to control the energetic consumptions of every building belonging to the BNP PARIBAS park and having a surface higher that a 100m². During this project, my role was to make the audits done in branches validated in order to preview how the device would be installed, how to maximise its efficiency, and to coordinate the different participants. Next, I made a study on the maintenance contracts signed by the exteriors services providers. This study had two main points, the first to find tracks to be able to renegotiate the contract, for it to be less expensive for BNP PARIBAS, the other to make a reorganization of the interne tool to make it easier to use.",14 avril 2015,Intern,BNP Paribas
Paris,,I did an internship at BNP Paribas Paris. It was a great experience for a young student. The atmosphere was amazing. The team was young and fun.,15 mars 2015,Internship Asset Liability Management and Treasury,BNP Paribas
"Paris, France",,"Before the merger with BNP, Paribas was a very demanding company with underlying social elitism and academic excellence where it was pretty difficult to grow.,The company culture was very urbane and somewhat political. It was a good place to polish one's skills in communication and to learn how to better focus on details.,After the merger, the recognition emphasized more on tangible achievements.",30 novembre 2014,Sales and Marketing Manager - Commercial Accounts,BNP Paribas
"Paris, A8",,"Greeting clients and making appointments,Informing customers about products and services offered by the bank,Transferring money from one account to another,Giving checks and credit cards- sales,Filling the cash dispenser- ATM.,Solving problems met by clients in daily life such as loss of credit card, refund, claims,…,The hardest part f the job is that there were a lot of customer all day",1 octobre 2014,Customer adviser,BNP Paribas
Levallois-Perret,,"Risk analysts at the Scoring Centre handle several projects simultaneously, work with clients located in different countries and internal bank clients.The team is multi-cultural and very dynamic, innovative methods are welcomed, research and development take an important place in the workflow.,The most enjoyable part of the job is the variety of products, environments and subjects to deal with. The hardest part of it is finding the best possible way of working with faraway clients.",21 mars 2014,Risk analyst,BNP Paribas
"Paris, A8",,"A strong Culture of ""Risk Management""and ""Business Development"",Good Exposure,Good Culture,Great Environment,Good overall experience",16 février 2014,Head of Learning & Development,BNP Paribas
Chartres,,"My job at BNP Paribas was enjoyable; welcoming the clients and answering their questions, both face to face and on the phone, was never the same. The managers were responsible and the co-workers attentive and professional. The hardest part of the job was to deal with customers' discontent, for as part of the reception team, I was in the front line. This was also the most enjoyable part of the job: contact with the client.",5 février 2014,Intermittent Reception Employee,BNP Paribas
"Paris, France",,"Business and production focus,people are pleasant to work with,A day of business is pretty hectic lots of things going on ,I learn all technology that is not use anymore ETI on Unix",13 mars 2016,BI Analyst/Developer,BNP Paribas
"Le Mans, B5",,"An amazing team and atmosphere.,I have learned how to sell products and services, negociate with customers..",12 octobre 2013,Account manager,BNP Paribas
"Paris, A8",,"• Actively participated in all aspects of IT and systems-related tasks, including documentation of project needs, analysis/research of needs and possible solutions,• Identified technology and business solutions; gathered, understood and documented and optimized business processes; reviewed process workflow mapping,• Collaboratively built comprehensive business processes including risks, failures and disturbances and worked with project members to give suggestions,• Analyzed sensitive, complex business processes to prevent potential failures,• Classified and mapped risk areas to communicate easily with other departments and updated internal documents,• Analyzed COBIT framework and internal documents to compare two methods of IT Governance,• Wrote report of a detailed methods comparison to provide proof for internal Bank Auditors on significance IT Governance solutions",4 août 2013,Operational Risk Analyst (Internship),BNP Paribas
France,,"My first really job as I graduated. I learned the customer service skill, but I had great co-workers who coached me. Enjoyed helping others and helping my customers find solutions to their problems",26 juillet 2013,Credit Analyst,BNP Paribas
"Paris, A8",,"Sales Trader on European markets for institutional,Set up of daily strategies",18 juin 2013,Sales Trader,BNP Paribas
"Bayonne, France",,"a typical day at work,what you learned,management,your co-workers,the hardest part of the job,the most enjoyable part of the jo",23 avril 2013,July/August Intern,BNP Paribas
"Nanterre, 92",,"Used to be a small company. Now as part ofBNP, it gets bigger with the drawbacks as inertia",27 mars 2013,CORPORATE PROJECT MANAGER,BNP Paribas
"Paris, A8",,I worked directly for the head of the chemicals sector in BNP Paribas Corporate Finance with strong inclusion into the different steps of the negociation and the pitching process,9 février 2013,M&A Intern,BNP Paribas
"Montreuil, A8",,"System engineering,To be professional every single day,Nice management,Friendly and professional,not use all my skills,The training session every month",26 janvier 2013,Production System Engineer,BNP Paribas
Bordeaux (France),,"This job is directly linked to institutional investors and large corporate investors. I was assisting the Global Relationship Manager in his tasks.,My main responsibilities were to:,Allocate to each enterprise a counterparty rating, corresponding to the risk of counterparty default on its business cycle,Evaluate the potential recovery on each credit line in case of default of the counterparty,Risk analysis and draft proposals for new bank loans or renewal of credit records,Familiarization and use of tools dedicated to banking risks,Languages",2 juillet 2012,Internship,BNP Paribas
"Elancourt, France",,"Felt in love with the banking industry;,I was here as an ""intern"" for my Negotiation and Customer Relations diploma. My colleagues and manager were always there to help me as well as guide me.",29 mars 2012,Banking Customer Adviser,BNP Paribas
"Montréal, QC",,"In worked in FMT Dept for 2 yrs. My manager was in New Jersey, as I worked in Montreal.  I think my manager ran the team very well considering he monitored Canada and US work.  When my manager felt you understood your assigned accounts, he would change up quickly so I did not feel bored. ,Colleagues were always willing to help or explain what was not clear",6 juillet 2016,Credit Risk Control Support Analyst (FMT),BNP Paribas
"New York, NY",,"A typical day requires a lot of follow-up with the role mentioned.  I have learned a lot in terms of systems the bank uses and what they are trying to accomplish in terms of savings and most importantly their objective.,In regards to Management, there is is sense of leadership or accountability but they are nice.  Co-workers are somewhat helpful and nice as well.  The hardest part of the job is knowing people will be let go and jobs will be outsourced.  Learning has been been the most enjoyable part of the job.",5 juillet 2016,IT Governance Compliance Associate,BNP Paribas
"Chennai, Tamil Nadu",,"Captive unit provides world class work environment and culture for all the staffs spanning over day and night and 24/7.,The work pressure is less due to efficient staff planning by recruitment by the human resource personnel.",5 juillet 2016,Senior Associate-Operational Quality Controls,BNP Paribas
"Jersey City, NJ",,Diverse Environment. International Banking and Markets were challenging. Supportive management. Learned about letters of credit and commodities trading.,24 juin 2016,Collateral Risk Analyst,BNP Paribas
London,,"Most areas of the company are brilliant, most want to see you succeed, however there are some that will try to stunt your progress as they have taken a disliking to you, I have seen this with other staff members not being offered roles which they were promised etc.",22 juin 2016,Facilitator,BNP Paribas
"San Francisco Bay Area, CA",,"Lots of favoratism and your l Iikely to advance if you kiss up to the higher ups even if your team doesn't respect you and you take credit for their work.  If you are good at ""managing up"" this is the right place for you.  If you are a worker bee that doesn't play politics then you are stuck with no career path",17 juin 2016,Admin,BNP Paribas
Lisbon,,"Nice workplace with amazing colleagues. The company respects a lot its staff and provides a good range of benefits that are not very common in Portugal. ,The management is supportive and provides all employes with opportunities to learn more (language skills, technical skills).,The salaries are lower than the competition within the banking sector.",16 juin 2016,Banking Operations Technician,BNP Paribas
"Jersey City, NJ",,"This was a great place to work. The Management is great. I think the benefits, are good,  Flexible hours. Team work environment.",14 juin 2016,IT Service Delivery Manager (SDM),BNP Paribas
London,,"Working in an extremely professional environment it was key to be able to work alongside senior management as well as with contractors.  Working without direction to ensure all support, hard and soft services ran smoothly at all times.  All members of the team worked flexibly and with excellent rapport.  I particularly enjoyed the variance of tasks within the role.",13 juin 2016,Facilities Coordinator,BNP Paribas
"Swindon, UK",,"Thoroughly enjoyed working here - reliable, friendly, successful.,- Fun to work with international teams + travelling.,- Good focus on work-life balance, personal advancement etc.,- Company cars.,- Well-appointed offices.,- Strong management team.",9 juin 2016,Web Development Analyst,BNP Paribas
"Paris, France",,"Business and production focus,people are pleasant to work with,A day of business is pretty hectic lots of things going on ,I learn all technology that is not use anymore ETI on Unix",13 mars 2016,BI Analyst/Developer,BNP Paribas
"New York, NY",,Good work place and lot to learn.Worked as a BA and have worked on various requirements responsible for end to end project implementations,4 mai 2016,Business Analyst,BNP Paribas
London,,Busy day at work with a high degree of responsibility given to the individual.  Siloed teams can conflict with firm wide project initiatives.,30 avril 2016,Senior Quantitative Developer,BNP Paribas
"Mumbai, Maharashtra",,"1. Good exposure,2. Career growth,3. Professional,4. Decent salary,5. Good Co-workers,6. Lot of extra activity for skills development",28 avril 2016,Software Engineer (Developer),BNP Paribas
London,,"Great experience in one of europe's leading investment banks. International work environment with highly skilled colleagues who took plenty of time to train me and integrate me in the commodity derivatives business. As an intern I learnt about derivatives, hedging strategies, commodity markets, credit counterparty risk and the credit aspects of deal structuring. I was entirely integrated in the team and felt that my work added value to the business.,Tasks included exposure analysis and VAR simulations, writing business support memos, measuring the profitability of trading lines, defining credit terms in legal documentation, automating reports with VBA, and data analysis.",27 avril 2016,Commodity Derivatives - Credit Intern,BNP Paribas
London,,I learnt a great deal about commercial property management. There was great team spirit and team activities. I enjoyed working for private clients who demanded a great level of attention and generally wanted to be closely involved with the management of their property assets,20 avril 2016,Commercial Property Manager,BNP Paribas
Istanbul,,"although I have needed to change my country, i miss there, great place to work. very great project management experience",7 avril 2016,Senior Project Manager,BNP Paribas
"Mumbai, Maharashtra",,Amazing company to work for. Long working hours but good learning. You will get an opportunity to learn end to end about the business and learn a lot about the financial markets,4 avril 2016,Functional Lead,BNP Paribas
"Montréal, QC",,Leading the Canadian Service Desk team consisting of 7 employees and responsible for the support of 600 users in Canada.,30 mars 2016,Service Desk Manager,BNP Paribas
"New York, NY",,Great place to work with great pay and vacation days! People were good to work with and they definitely know how to let loose!,28 mars 2016,Trade Support Analyst,BNP Paribas
"New York, NY",,Poor leadership and no communication from executives in Paris.  The business groups here in the US were secondary to the European ones.  There was never clear directives on what our goals were and the resources were to committed.,26 mars 2016,Head of Commission Management,BNP Paribas
Sydney NSW,,"Brilliant one of the top international investment banks, always provide opportunity to new people who lack of experience and keen to learn. Good team working culture and specific management hierarchy.",21 mars 2016,"UUT, Internship",BNP Paribas
"San Jose, CA",,Good place to start one's career and learn customer service as well as best practices to begin a sales career. I worked here during my college years holding various roles including teller and financial representative.,15 mars 2016,Licensed Personal Banker and Branch Manager,BNP Paribas
Mumbai,,Great Place to work!!!You learn about multitasking with a lot of focus on you to grow.Team work is exceptional.Lot of team building sessions help encourage best out of each.,14 mars 2016,Associate,BNP Paribas
"New York, NY",,"I love working at BNP. They were flexible, smart, funny, kind, hard working, and very talented. The place was always clean and the work was always straight forward. Sometimes it was slow for me because of how quickly I work and preview experience form Apple placed me into a high work environment but it is a nice place to work.",9 mars 2016,Project Manager/Technical Lead,BNP Paribas
Antwerpen,,"it was such an amazing experience to work at paribas. ,it was so organised, tasks are clear, although im not a banker, i learned so much, how to organize,following up with client, public relation and communication.,my colleagues were amazing, we had a great team, no issues among us,,I enjoy working there, becuase of work nature and the people around you,",26 février 2016,Business development Executive - Full time,BNP Paribas
London,,"A good place to work. very good life balance. Company that take in consideration employee family life and commitment.,encourage job mobility, which allow me to work in different roles.",24 février 2016,Project manager/ BUSINESS ANALYST,BNP Paribas
"Newport, NJ",,People are great to work with.  Co-workers are great and can learn a lot from.  The hardest part of the job is to make sure that the dead line have been met.  a,22 février 2016,VP Business Analyst/ Project Manager,BNP Paribas
"New York, NY 10019",,"•	Institutionalized and leveraged existing market contacts into dealing bank clients.,•	Served as a member of a global team of foreign exchange sales professionals covering leveraged, corporate, and commodity trading advisor accounts.",16 février 2016,Vice President Foreign Exchange Sales,BNP Paribas
Glasgow,,Good place to work.  More of a relaxed culture being a French company. More training facilities would be beneficial and flexibility to move around the company,5 février 2016,Business Control Analyst,BNP Paribas
"New York, NY",,BNP was a good place for me to learn but management was never really reliable they never seemed to know exactly what was going on.,4 février 2016,I.T. Manager,BNP Paribas
"Paris, France",,"Business and production focus,people are pleasant to work with,A day of business is pretty hectic lots of things going on ,I learn all technology that is not use anymore ETI on Unix",13 mars 2016,BI Analyst/Developer,BNP Paribas
London,,"A typical day would start at 6.30 and finding out what has been happing in the financial world overnight. Then one would start trading at 8 until 4.30pm when the European markets close. ,BNP has a good work/life balance and they give importance to personal commitments. Co-workers are fun and relaxed.",2 février 2016,Senior Vice President,BNP Paribas
"Mumbai, MH",,"Highly structured and professional setup, a very well laid hierarchy. Great place for hands on experience. ,Limited independence to experiment and think out of the box.",31 janvier 2016,"Software Engineer (Agile) - Oracle, Java Developer",BNP Paribas
Bahrain,,"I worked almost 10 hours everyday for 6 months, I still enjoyed it, my team mates were great, the management was easy going and cheerful, I managed to learn a lot in a short time.",30 janvier 2016,officer/Developer,BNP Paribas
chennai,,"My Day at Bnp starts with reconciliation of cash accounts.,Team members are very helpful.,Creates a new platform for al the employees to get cross trained on other process as per employee wish.",18 janvier 2016,Associate level,BNP Paribas
"New York, NY",,Great European Bank with lots of opportunities in the US branch. Unfortunately my department has been outsourced otherwise I would still be working at BNP.,12 janvier 2016,FX Settlements Analyst,BNP Paribas
"北京市, C22",,"The team stayed together late very day, everyone was hard- working and efficient. I felt comfortable being with them, and learnt a lot of from everyone.",4 janvier 2016,Investment Banking Intern,BNP Paribas
"New York, NY",,"Stable job, plenty of work to do in operations, room for advancement available, good office location, and good benefits for employees.",3 janvier 2016,Data Analyst Consultant,BNP Paribas
"Dubai, DU",,"im happy to be part of this organization since 2008.,I would recommend to everyone to be part of it.,I enjoyed my trip to ferrari world with my manager where we had a good time.",22 décembre 2015,Regional IT Infrastructure Officer,BNP Paribas
"Jersey City, NJ",,"Opportunity to support IT, Equities and Operations.  Great team.  Good organizations.  Very grateful to have worked here.",18 décembre 2015,desktop support analyst,BNP Paribas
"New York, NY",,"However, management can listen to the employees more. Human Resources does not work for the employee, only for the management which leads to distrust of the group.",8 décembre 2015,On-Site Controls Analyst,BNP Paribas
-,,"Rom the beginning of my career i'v been in the trade of diferent products and services .,I joined BNP in 2010 in collection department .Then i went through the hole sales process.,I reached the team leader position after two hard working years as a consultant.,I improved a lot of skils as comunication , organization , management skils .",8 décembre 2015,team leader,BNP Paribas
"London, ENG",,"Social environment. Care about people feeling well at work.,Reluctancy in adopting new technologies and ideas.,Lack of transparency, leading to potentially incorrect decisions.",4 décembre 2015,Quantitative Developer,BNP Paribas
"Newport Beach, CA",,Fun workplace. Supportive senior management. Fastest growing commercial banking office. Excellent experience. Independent decision making at each unit.,3 décembre 2015,VP-Senior RM-Team Leader,BNP Paribas
"New York, NY",,Good Company to work for . They are mostly French but they speak English as well. The Hours are good and you get free snacks.,22 novembre 2015,Technology Manager,BNP Paribas
Dubai,,"Great Multinational culture. ,Respect and Recognition.,Multinational Clients.,Great Learning.,Co workers were helpful and professional.,Good experience overall.",20 novembre 2015,Asst. Relationship Manager CIB,BNP Paribas
Hong Kong,,"A very interesting organisation to work in, especially with regional role.  Work hard, play hard and pay well.,A good environment to learn,Culture of the organisation : team work, helping each other",19 novembre 2015,"EA to CEO, Corporate Finance, Asia Pacific",BNP Paribas
"Milano, LOM",,"Interesting work in Sales, very customer oriented and fun environment at the same time. Very young and successful team",5 novembre 2015,Equity Derivatives Sales & Marketing,BNP Paribas
"New York, NY",,"Friendly smart colleagues, hard working but not a brutal Wall Street environment.  Higher level positions are mostly or only French natives. Risk systems are Top Notch. Many co-workers were contractor consultants.",26 octobre 2015,Market and Counterparty Risk Analyst,BNP Paribas
Hertfordshire,,was quite a good place to work enjoyed my time there thoroughly. loved working with an interesting group of people who were always there to help whenever it was needed,25 octobre 2015,Business Analyst,BNP Paribas
"Moorgate Station, ENG",,"A typical day at work would be receiving stock deposits and withdrawals on a daily basis. I have learned various things that I have never experienced before like working in a banking firm, how to use SWIFT and other financial day to day procedures. Very supportive management and co-workers. The hardest part was not getting anything wrong and the most enjoyable was the challenge and accomplishing everyday as it came.",24 octobre 2015,Residuals Settlements Account Manager,BNP Paribas
"Paris, France",,"Business and production focus,people are pleasant to work with,A day of business is pretty hectic lots of things going on ,I learn all technology that is not use anymore ETI on Unix",13 mars 2016,BI Analyst/Developer,BNP Paribas
"London, ENG",,There is no typical day at work due to the demanding factors and challenging environment at financial market which influence the day to day tasks.,22 octobre 2015,Investment Data Consultant -Financial products,BNP Paribas
"Jersey City, NJ",,"Loved my time at BNP - great people, single mindset to get things done.  Cautious in their approach to solving complex business problems.",9 octobre 2015,Director,BNP Paribas
Bulgaria Veliko turnovo,,"fast growing and innovative company,most pleasant part of the job was that work after a young and united team,the most difficult part of the job is to manage to convince customers and to sell at good products...",9 octobre 2015,Credit Consultant,BNP Paribas
london,,"was understaffed at the time so extremely long hours of physical work.,not much by way of career prospects when I was there, on a temp contract. The management wanted to extend but Head office wanted to reduce costs so was not kept on. Employed through an agency - Falconwood in Bromley who were not kind.",6 octobre 2015,Messenger,BNP Paribas
India and Hong Kong,,"Supportive management and co-workers. Learnt a lot during my tenure. Received extensive management experience in collaborating with multiple stakeholders from Finance, Operations and IT in UK, US, Hong Kong and India",3 octobre 2015,Senior Financial Analyst,BNP Paribas
New York,,Large global bank with lots of interesting business lines and work locations. Trying hard to stay a middle tier bank and greatly succeeding.,3 octobre 2015,Assistant,BNP Paribas
TH1,,Good organization and good people. Strong credit team and product team. The most enjoyable is outing which the whole team spent time together to know each other and it helps improve work relationship.,1 octobre 2015,VP,BNP Paribas
"北京市, C22",,"During this experience in BNP Paibas, not only did I learned a lot about doing M&A projects, but also I knew some excellent people.",26 septembre 2015,Investment Banking Intern,BNP Paribas
"Chennai, TN",,"9+years of strong experience in Java Application Development, Client/Server Applications, Internet/Intranet based database applications and developing, testing and implementing application environment using JAVA/2EE Technologies.",26 septembre 2015,Technical Lead/Senior Consultant,BNP Paribas
HK,,"Price and Execute Structured Equity Derivatives Product,Generate Term Sheet and review Final terms,First contact point of BNPP HK PB Sales desk",26 septembre 2015,Sales Assistant,BNP Paribas
chennai,,"Employee morale is good.,Good chance for beginners,Terminal knowledge..,Direct dealing to customers is good.,BNP Paribas Securities Services is a wholly-owned subsidiary of BNP Paribas; BNP Paribas Securities Services is the leading European provider of securities services and rated number 5 in the world. BNP Paribas Securities Services (BP2S) has a unique multi-local model, servicing both the buy-side (the institutional investors and the fund managers) and sell-side (the broker-dealers community and the banks) with is presence across 25 countries and global coverage of 92 markets.",22 septembre 2015,Sr. Associate,BNP Paribas
chennai,,"I worked as senior associate and had a great experience in middle office worked for almost 3.3 years in bnp. its was stress free environment. As a senior member trained many fellow members.,And all types of process under bnp investment process.,worked in chennai, tamil nadu.",20 septembre 2015,Senior Associate,BNP Paribas
"International Finance Center 2, Central, Hong Kong",,"Overall environment is good with support from the management when needed. You have the ability to prove yourself with close interaction with management and colleagues; take position of projects or deals, though difficult to breakthrough once you reach a management position: lack of visibility, but not necessarily in possibilities. Networking becomes an important part of your daily life in the end to be seen and heard.",19 septembre 2015,"Loan & Trade Syndication APAC, Business Manager",BNP Paribas
"Kiev, Ukraine",,"Analysing, creating, conversation,Learned: management, legaal,Managenet : positive and opened,Hardest part - To say NO",16 septembre 2015,Project Manager,BNP Paribas
"Mumbai, MH",,"The culture of the company is great and everyone I worked with was amazing. Also, we had Job rotation (for Junior and Mid Level) at period of 3-4 years generally, which further allows you to have a hands on experience in working with different Sub-departments of HR Department.",15 septembre 2015,HR Executive (deputed by Kelly Services),BNP Paribas
"Mumbai, MH",,"Core Investment knowledge. Good for exp people.,Awesome work culture and average salary scales.,Good training programme.",9 septembre 2015,Senior Software Engineer,BNP Paribas
"Singapore, S00",,"Great experience and learning a lot during the project. It was hard at the first, but we built good relationship between colleagues.",8 septembre 2015,Business Analyst,BNP Paribas
Lisbon,,"During the period I worked for BNP Paribas, I learned about the financial market, settlement operations, the software used by BNP Paribas Securities Services for securities transactions, how to instruct transactions (via SWIFT messages) in different markets (Germany, Austria, Hungary, Czech Republic, etc) and the respective market rules. ,This knowledge was essential in order to answer client queries regarding failed trades (normally due to wrong or late instructions, missed deadlines or lack of securities or cash). ,A typical day at work consisted in monitoring the transactions of clients assigned to my team, answering client queries and requests, and performing and checking all tasks included in our daily task list.,My managers were supportive when necessary but did not have a very direct relationship with my work. In regard to my co-workers, the  relationship was great. In addition, I also developed a good relationship with many of our clients and helped increasing their satisfaction.  , ,If I could describe our work environment in few words I would say the following: 1) productive, 2) stressful, 3) team spirit and 4) fun. ,The hardest part of the job were the moments when we were short of staff and had many tasks to perform in short time in order to meet the deadlines or answer client queries or requests in due time. It was stressful. Another aspect that wasn't very positive was the repeatability of daily tasks and the off-peak moments at the end of the day when I had the shift and almost everyone else was gone. ,On the other hand, the most enjoyable part",4 septembre 2015,Account Officer,BNP Paribas
"Frankfurt Main, HE",,"Limited interactions with fixed income sales people who were very busy throughout the days.  ,Nice atmosphere within the bank, work/life balance was very good.",1 septembre 2015,Fixed Income Sales Intern,BNP Paribas
"Mumbai, INDIA",,"BNP Paribas provide good work life balance for their employees.,I am working with BNP Paribas from last 4 years and enjoying my tenure here.",1 septembre 2015,Team Lead,BNP Paribas
"Paris, France",,"Business and production focus,people are pleasant to work with,A day of business is pretty hectic lots of things going on ,I learn all technology that is not use anymore ETI on Unix",13 mars 2016,BI Analyst/Developer,BNP Paribas
"Oklahoma City, OK",,"The culture is one of ""too many chiefs, not enough Indians"". Regional managers lack the ability to support teams in the field. They simply repeat old ideas that are spewed over and over through multiple conference calls, reports and activities that add up to nothing. Rather than actually focus on ideas that work, they continue to regurgitate the same thing over and over.,Area Managers are puppets to the regional managers who all have the mentality of being a dictator. You will do what we tell you to do or else you will be fired. Management by threats means you lack the ability to manage people and are a bean counter.,Incentive plan is a joke. Incentive plan is based on a antiquated point system that favors the company. Why would you cap a sales persons incentive? That makes no sense what so ever.,Back to the upper management, they all sit in their offices barking orders and never leave their office. All they do is orchestrate conference calls to justify their jobs. And when they heat comes down on them, they just simply blame everyone else.,Business partners don't help, they simply look for handouts and when they don't get enough, they're quick to report you to management and throw you under the bus.",21 août 2015,Branch Manager,BNP Paribas
"Jersey City, NJ",,Good work is recognized and appraised by the management.  The management will point them out in a positive way when there are doubts in terms of provided solutions for any issues instead of playing the blame game.  Limited red tape given the size of the company.,4 août 2015,Senior Software Consultant,BNP Paribas
CHENNAI,,"Work environment is exceptionally good, management is very supportive and friendly towards employees.,knowledge exposure is very good in process wise.",2 août 2015,Associate,BNP Paribas
"New York, NY",,"very busy HR environment.  Worked with 10 plus employees, including HR Partners, HR generalists, recruiting team and Learning & Development Teams.",27 juillet 2015,Contractor,BNP Paribas
Jersey City,,Tell us about: a typical day at work; what you learned; management; your co-workers; the hardest part of the job; the most enjoyable part of the job.,25 juillet 2015,Assistant Vice-President,BNP Paribas
Lisbon,,"You enter always at the same hour and exit and the same hour. I work with the market so the clock is always right. You almost never do extra hours. You have to do your job that most of it is just procedures. Easy going, a lot of international people working here, most of them come from Erasmus and stayed in Lisbon and are now living here.",8 juillet 2015,Trainee - Local Settlement Team Italian Market,BNP Paribas
Abu Dhabi,,"On a day-day basis I would be interacting with clients, following up on  things like pending Annual reviews, interacting with the compliance and Due diligence team to ensure the smoothness of accounts with our clients.,I have learnt how to interact with clients, co-ordinate with our regional office in Bahrain & also with our Head office in Paris. The management included of individuals who strongly believed in the capabilities of their team without having to micro manage - this allowed more room for growth & gave me confidence in my skills.,The hardest part of the job would be to achieve the targets set with boundaries such as having teams in different countries and time zones (Bahrain & Paris).,The most enjoyable part of the job would be the work environment - where people are there to teach & support.",1 juillet 2015,Coverage Associate,BNP Paribas
"Chennai, TN",,Experience of working in Australia as I was send by the organization for the migration of the projects whre the profile was to study and analyse the process and ammend them as per the requirement through Automations,1 juillet 2015,Excel Developer/Analyst,BNP Paribas
"New York, NY",,"When I joined BNP in 2012, it was a great company with great people and thrive to see people grow internally and organically.",26 juin 2015,Associate (Latin America Fixed Income Strategist),BNP Paribas
"Bucuresti, IF",,It's a very good Company with a good management and employees and was a honour to work there and i've learned a lot of good things.,17 juin 2015,Debt Collection Officer,BNP Paribas
"New York, NY",,"Temp Hire - good place to work, always work to be done, can get stale and need more opportunities for growth. The company needs to be more advance with technology and working efficiently with the times - a lot of process is outdated. Management needs more structure and organization to create productive environment. Otherwise great people to work with.",15 juin 2015,US Client Onboarding Analyst,BNP Paribas
Dundee,,"Having worked for a few Banks before coming to BNP Paribas, I had expected a good atmosphere and degree of professionalism.  Instead it was colleague;s comment  ""why you working for BNP Paribas, you must be mad!""  after 5 months of contract, glad it was over.  Sadly processes were still print and eye-check.  No VBA or even an excel report and no telephoning!",15 juin 2015,Reconciliations Administrator,BNP Paribas
Glasgow,,I have been with BNP Paribas for a month now and the culture difference from previous organisations is startling. BNP is a very relaxed place to work.,8 juin 2015,Middle Office Trade Management Administrator,BNP Paribas
Central,,BNP Paribas has given me a lot of opportunities and flexibility on my career. The people that I work with have all been very nice and helpful.,8 juin 2015,Business Support (Full-time),BNP Paribas
