sentence;package & benefits;work culture;job description & take outs;relationship with management;team;general appreciation;career & progression
,Hardest part of the job, is when you clarify the risk of the practical grounds to the top management;;;;;;;
,Most enjoyable part of the job, is the same as mentioned above;;;;;;;
Accenture service Pvt Ltd is a very good level 5 company having very good work culture;;;;;;;
 Very good exposure for IT professional;;;;;;;
 Infrastructure is very to work comfily;;;;;;;
Had a good experience and met a lot of people;;;;;;;
 Learned about the company and what the tax department does prior to starting to work full time;;;;;;;
"Great work-life balance, perks, and benefits,Cons:,-Not very strong management (there are some great managers, but many who do not have a grasp of leadership/management),-A lot of duplication in work,-Politics depending on business unit and culture,-Near constant ""reorgs""";;;;;;;
If you want to learn a lot this is the perfect place for it;;;;;;;
,The youngest of the must of the people makes it a great place to be;;;;;;;
Great People,Great Food,I learned how to handle different brands of customers;;;;;;;
Typical day is have stand ups in morning, work assigned to you during that, work on it widget clarify functional details form functional team through meetings;;;;;;;
 Learned rules engine product;;;;;;;
 I have good scenery in team;;;;;;;
 And lead 's are very friendly;;;;;;;
 Hardest part is integrate with system that used here;;;;;;;
The organization was established in 1859 and we are committed now more than ever to helping clients meet financial goals in all stages of their lives;;;;;;;
 One of the hallmarks of our proud heritage is providing world-class customer service;;;;;;;
Working at Ernst and Young was an incredible honor and an awesome experience;;;;;;;
 I gained so many skills from this internship and got connected with many powerful people;;;;;;;
 But most of all, everybody made me feel like I was apart of the team;;;;;;;
I love working here, but opportunity to switch field to allow career growth is very limited;;;;;;;
A challenging environment, with a large array of projects from various fields such as energy, judicial and manufacturing;;;;;;;
I EXPERIENCE RACISM AGAINST WHITE PEOPLE THERE IS AN INBAlANCE OF TO Many blacks;;;;;;;
The busy seasons at EY involved very long hours with tight deadlines;;;;;;;
 However, this lasts for less than half a year and the remainder of the year is less hectic;;;;;;;
 You learn how to multi-task and manage your time;;;;;;;
 You also learn how to communicate and develop your skills very quickly;;;;;;;
 The advantage is that you have a close-knit group of colleagues and active social life outside of the busy season;;;;;;;
Worked whole night on 31/03/13 ( 32 hrs - from 7 am on 31st to 3 pm on 1st April with a minimum gap in between )  to close yearly accounts;;;;;;;
 And , that could be possible with the  help of my colleagues ;;;;;;;
It was a memorable day for me during my service life;;;;;;;
 Furthermore , superiors are very nice and supportive always;;;;;;;
Good place to work at with loads of fun activities and regular fun events;;;;;;;
,However, lots of work pressure and 10 hours of working;;;;;;;
I would recommend Microsoft as an employee, They have great benefits along with great co workers;;;;;;;
 They made the workplace enjoyable and prepared;;;;;;;
If you are looking for a corporate career with suits, ties, long hours, and the prestige of all that comes along with it, then this is the perfect company for you;;;;;;;
 They do a great job at cultivating their employees and assisting them in growing their careers;;;;;;;
 Just as long as you are willing to put in the hours and follow their procedures and guidelines, you will be a huge success;;;;;;;
Was really fun to go in everyday and do debits and credits, take food orders over the phone for hotels and TGIF;;;;;;;
 I hated when the company went under and was sold to PFG and is no more;;;;;;;
Good company to work for;;;;;;;
 Fun work place with supportive management;;;;;;;
 Good culture;;;;;;;
 Ethical company;;;;;;;
 Good work life balance;;;;;;;
 Good number of career opportunities;;;;;;;
Google is a reall cool company to work for as long as you have a genuine passion for technology and are quite Googley, then you will fit right in;;;;;;;
 The main thing is to remain Googley!! There is something for everyone, so everyone has the opportunity to contribute to something amazing!!;;;;;;;
An early day at work, starting with Sanity testing,Followed by team meetings and discussion about the days' activity, execution status, test progress,Ever helping team mates and great Management,Hard and crucial moments are easily managed by arranging calls or visiting the Dev team in person and setting meetings with them;;;;;;;
Best company to work in the world;;;;;;;
,My dream is to get a full-time status;;;;;;;
 ,Great company to learn more about many aspects technical, social, non -technical, etc;;;;;;;
good work life balance;;;;;;;
 low perks;;;;;;;
 good progress for people who can travel;;;;;;;
"My main focus is to help Corporate clients to being more successful and productive; not only by answering questions or having engaging conversations on phone, also by training them in how to use Microsoft products in the most efficient way";;;;;;;
",As ""Commit to excellence"" is one of my personal core values, I aim for constant personal growth";;;;;;;
" Or to put in in other words - ""good just isn't good enough, but excellence can be achieved"",Specialties :Hard-working, self motivated and responsible, ability to learn fast, capable of combining full-time work with continuous learning";;;;;;;
Microsoft is an amazing place to work;;;;;;;
 Your success depends a lot on your team;;;;;;;
 Most people are really nice and accommodating;;;;;;;
First 2 years were fun, but as the organization grew, specialization and mission creep grew;;;;;;;
 Success there depends upon whether you have a good manager or not;;;;;;;
‰Û¢ Led planning, objective assignment, and budgeting plans,‰Û¢ Processed transactions, balanced books at the end of each shift, learned about accounting and inventory practices;;;;;;;
,‰Û¢ Issued all coupon sales, transaction register requests and monthly parking stickers;;;;;;;
,‰Û¢ Handled all schedules of daily drops and money dealings;;;;;;;
,‰Û¢ Evaluated ticket reconciliation and reported accident reports to management;;;;;;;
,‰Û¢ Encountered and resolved customer services issues;;;;;;;
Always challenging work with great reward,$0 paycheck deducted for medical coverage for the whole family,401k is not as good as Nokia's;;;;;;;
working for long hours like 30hrs continuesly, worked culture is good, I had improved my skills professionally and in personal too;;;;;;;
Can rate Deloitte as best company to work;;;;;;;
 provides work-life balance, employee friendly;;;;;;;
invests in growth of employees;;;;;;;
 provides ample opportunities for employees to prove themselves and to grow;;;;;;;
Its a good company to be;;;;;;;
 Nothing more to say;;;;;;;
 Awesome place;;;;;;;
 Thankful for the work environment;;;;;;;
 Would like to work again;;;;;;;
Microsoft is a great place to work,,lots of room to grow and , and great pay and benefits package,,They have a diverse group of employees,;;;;;;;
A decent place to work while driving cars;;;;;;;
,The best part about this job was having free time on the van rides back to the assembly line to converse with co-workers;;;;;;;
Challenging opportunities,We had a 24hour TAT for our work, which sometimes led to stretching for long hours;;;;;;;
 Management is employee friendly;;;;;;;
A typical day at work ,when we use to get NEW Business requirement, Day by day its getting easier to understand the Functional and business requirement;;;;;;;
AGA is an awesome Global company;;;;;;;
 You will find all kinds of great people from all over the world;;;;;;;
 Very exciting workplace with a nice sense of style;;;;;;;
Good Opportunity,Great team working with me,Really challenging being in a government funded operation which was being neglected by the authorities;;;;;;;
Management was good and the process is much aligned with the employees expectations;;;;;;;
 Peers are knowledgeable and nice to work with;;;;;;;
- Day time work and sometimes late night stay during release,- I had learnt new technologies and a vision of future technologies,- honestly, a selfish management,- co-workers are great and I would love to work with them,- hardest part is getting email response within time from management, overall slow process in India at least,- it would be enjoyable if I could get a chance to work on technology lab and work on cutting age technologies;;;;;;;
Great place to work ;;;;;;;
lots of opportunity for growth;;;;;;;
 Owned day to day business relationship with Client and all Internal Teams;;;;;;;
This personally taught me what industry I should avoid, as I discovered that it wasn't tailored to me;;;;;;;
 It taught me also how to improve my presentation skills and the different dimensions to the professional services industry;;;;;;;
Great place to learn and grow,great career opportunities,transparent work culture,emphasis on trainings and upskilling;;;;;;;
Working at Allianz is exciting and rewarding due to the different situations we assist our clients with, from travel to theft assistance;;;;;;;
I absolutely could not fault the salary and benefits that came with being a 'customer service adviser' at EDF Energy's customer contact center, which is why I stuck with it for so long;;;;;;;
 but I am honestly not joking when I say that working there for as long as I did caused serious mental health issues up to/including anxiety attacks and suicidal ideation - there's a reason call centres like this experience an extremely high staff turnover!,If you genuinely care about providing good customer service, this is not the company for you;;;;;;;
 The work is managed and evaluated on a purely statistical basis with *very* high pressure on advisers to deal with as many calls per hour as possible and with as many energy plan products or direct debit commitments sold as possible;;;;;;;
" This can prove tricky as outwardly the call center is promoted as the main customer point of contact for problems surrounding their energy supply/billing; *not* as a sales center";;;;;;;
 ,Those who are deemed to be effective workers are the advisers with a knack for finding ways of 'dumping' customers with more complex problems on to other advisers who have previously dealt with a customer's query/complaint or those able to transfer them through to other departments on the flimsiest of excuses;;;;;;;
 This allows them to take more calls per hour and increase their chances of promoting sales products to receptive callers (not to mention justify more breaks than just the minimum 36 minute lunch within an eight hour shift);;;;;;;
 Unfortunatley it also results in many customers going round in circles without actually being helped and;;;;;;;
it was a good company to work for friendly clean and smart uniform free tea and coffee god manement good long hours I was running team off workers  and I worked with the lads so we all could meet dead lines iff the had Nissan in Lincoln I would work for them again;;;;;;;
Smart colleagues,Good opportunities if you enjoy the high pressure consulting environment,Enjoyed the strategic projects;;;;;;;
 typical day at work is energetic,2;;;;;;;
 every day is a new learning,3;;;;;;;
 management is supportive;;;;;;;
 co-workers are competitive;;;;;;;
 hardest part of my job is sit with less work occasionally,6;;;;;;;
 enjoyable part of my job is that i love my job and do it with complete interest by putting my 100 %;;;;;;;
It's an assembly line;;;;;;;
work hard ;;;;;;;
don't take day off and don't ever make a mistake;;;;;;;
 Extreme micro management;;;;;;;
 New underwriting unit lead constantly puts underwriters down;;;;;;;
 Before then it was a great place to work;;;;;;;
not a place I would ever recommend going again;;;;;;;
Technology is advance but my job role is limited;;;;;;;
 Very flexible hours;;;;;;;
 Food is great;;;;;;;
 Love to be full time but I am contractor so this had to come to an end;;;;;;;
Good Exposure while working with Accenture, i have learnt a lot here, management is quite good will support you to groom your self and support you in order to be innovative;;;;;;;
Overall a good company to work with;;;;;;;
 Individual gets multiple options in terms of projects and locations to work ;;;;;;;
The best part of working for this organisation is sharing the working space with professional individuals who share their knowledge and experience;;;;;;;
Learn from different professionals with different capabilities & talents and also in different countries;;;;;;;
Should focus on keeping standart better in terms of training;;;;;;;
This is one the  best companies I have every worked with;;;;;;;
 Its a Five star company, on the whole a superb company to work with;;;;;;;
putting parts out for production line, loading and unloading the lorries, all so when need I was team leader which involved making sure the production lines were stocked up right, and to make sure the work place was clean and tidy;;;;;;;
Deloitte's professionals know exactly what they are doing;;;;;;;
 Deloitte's professionals set high standards, and consistently deliver;;;;;;;
,Their project expectations and planning is excellent;;;;;;;
 Most top level management folks are extremely smart and have a great sense of vision and planning;;;;;;;
 Upper level partners are extremely engaging and with the new performance management system in testing - there is huge opportunity to set the standard globally for our talent;;;;;;;
Awesome and friendly place to work;;;;;;;
  Great working environment and perks;;;;;;;
  Always supportive of new ideas and encourages  initiatives;;;;;;;
EY is a flexible work place;;;;;;;
 There is not much work pressure and I like the work culture;;;;;;;
 But in terms of salary and benefits it has good scope once you have invested a long career in the firm;;;;;;;
Great place to work with with co-workers;;;;;;;
 Had a phenomenal company culture centered around a work hard-play hard environment;;;;;;;
 Employees are valued and there is limitless advancement possibilities;;;;;;;
I enjoy being part of one of the biggest group in the industry of electronic;;;;;;;
 I can benefit of an highly qualified and experienced team, they teach me a lot and bring motivation;;;;;;;
,The group's stability and its reputation are an advantage;;;;;;;
It's good;;;;;;;
,I learnt many things in this organisation and it's really a good place to work and grow;;;;;;;
,I have grown a lot in this company;;;;;;;
I have worked at Nissan for past fifteen years with six of those combined with Infiniti brand;;;;;;;
Service personal are always kept up to date with any and all service bulletins, campaigns and service tips on an ongoing daily basis;;;;;;;
 Customer satisfaction is always the bottom line;;;;;;;
Great people to work with;;;;;;;
 Wonderful job to keep as a career with a promising future;;;;;;;
Unfortunately Google works with Staffing Companies that don't have the best benefits;;;;;;;
 ,They have temporary jobs with a max of 2 years contract;;;;;;;
EY is a good place to work and gain experience but they claim to have a good work/life balance and that is not true;;;;;;;
 Most jobs at EY expect you to work a lot of hours throughout the year and if you are not on the client serving side, you do not get the same career guidance and job growth;;;;;;;
 I find it hard to progress at a place like EY without having a CPA;;;;;;;
 The benefits and pay are good if you stay for a number of years and get great reviews;;;;;;;
 In the end, the amount of hours and workloads have no end in sight and employee appreciation is not as positive as in years' past;;;;;;;
 Most of the focus is on increasing revenues and gaining clients;;;;;;;
 There is not a lot of focus on their own people;;;;;;;
Microsoft Global Security is a wonderful group to be affiliated with;;;;;;;
  I have learned many aspects of my job and have been able to work among great friends and colleagues;;;;;;;
  It provides home/work life balance and job security;;;;;;;
  The culture is the best and I am very fortunate to be able to be a part of the experience;;;;;;;
Although there were times in the month by which certain functions needed to be inputted, there wasn't really a typical day;;;;;;;
,I learned how to put together a market report for clients;;;;;;;
 I had never done this sort of research before and I found it extremely satisfying when it was complete;;;;;;;
,My co-workers were incredibly hard working, pleasant, interesting and good fun;;;;;;;
,The hardest part of my job was having an almost four hour journey to and from work and working overtime also;;;;;;;
",I thoroughly enjoyed the excitement of working in the ""city"" though the travel was tiring";;;;;;;
Supporting multiple executives, all levels, with different personalities has kept me on my toes and learning something new and amazing everyday!  Flexible environment, supportive management and amazing teaming;;;;;;;
‰Û¢ Analysed the performance of Nissan‰Ûªs activities in order to optimize their management,‰Û¢ Delivered a set of recommendations that aims to increase dialogue between the different levels hierarchy in order to manage employee stress levels and increase work efficiency;;;;;;;
A pleasant place to work;;;;;;;
,Good people;;;;;;;
,Nice amenities;;;;;;;
,My division was eliminated and 170 people lost their jobs;;;;;;;
 I was 7 months pregnant;;;;;;;
 I LOVED my job and didn't want to leave;;;;;;;
 I was last person out of the door on the last day of employment;;;;;;;
Typical day at work is very fast paced and busy;;;;;;;
 ,I have learnt so much to do with Insurance whilst working at Allianz and had some fantastic support from managers and my colleagues and loads of fun along the way;;;;;;;
,The most enjoyable part of my job is talking to and assisting so many different customers through there journey;;;;;;;
there is lot to learn;;;;;;;
 very good team;;;;;;;
 and supporting managers;;;;;;;
 participation in all cultural activities;;;;;;;
 friendly team;;;;;;;
 fun environment;;;;;;;
I had a wonderful competitive hard working team members;;;;;;;
 Also, my manager was very encouraging and supportive;;;;;;;
 I've learned some great closing techniques;;;;;;;
I learned how to avoid the error / mistake, and also find the solutions for the freelancers, where they getting the error on the same scenario;;;;;;;
 I used to have a floor walk on daily basis;;;;;;;
Good place to work, as long as you do your work, everyone works together as needed , management needs help, they work with you if need it;;;;;;;
 I try to keep to myself to keep busy;;;;;;;
 Good heath care and one can't beat the 401k plan;;;;;;;
 Sometimes its who you know not what you know;;;;;;;
Very Good environment, nice place to work, People Management i have gatherd good knowledge in equipment financing;;;;;;;
Working in the mobile phones division has been exciting, rewarding and also challenging - always pushing ourselves to execute new and innovative ways to engage consumers through digital and physical experiences;;;;;;;
 True teamwork across markets, divisions and channels - in an ever changing and challenging environment;;;;;;;
Ernst & Young is the best place to work, there's a lot of flexibility, all we have to do is to provide a quality work for our clients, and EY makes sure its taking care of us;;;;;;;
My role at deloitte was a multi tasked;;;;;;;
 I never said NO to any work and was always upfront to learn new things;;;;;;;
 My co-workers were very supportive and we were really like a team;;;;;;;
 I dint had any issues with management and after leaving the company also I have a good relation with them;;;;;;;
Deloitte is a great place to work as it combines the challenge of engaging work with the best people in the industry;;;;;;;
 There was never a dull moment in my day when I was with Deloitte;;;;;;;
 I led a team of about 25 talented facilitators and coaches;;;;;;;
 Together we created and deployed learning solutions aimed at giving our professionals in India (20,000+) the communication skills they needed to succeed in providing exceptional client service in a global organization;;;;;;;
,As the Learning Lead, I created learning strategies for the team and our clients;;;;;;;
 I led end to end organization-wide learning projects that analysed skill needs, designed and delivered learning solutions and measured their outcomes;;;;;;;
 I interacted regularly with the leaders of our client areas to ensure that the learning needs of their teams were being met;;;;;;;
,I hired, coached and mentored managers and assistant managers who reported to me, planning their career advancement through skillset development;;;;;;;
 The most challenging part of my job was to provide new and interesting channels for the team to apply their creativity and stay highly engaged;;;;;;;
 Though this was not easy, it helped me to experiment with emerging alternative learning practices through virtual platforms and social media;;;;;;;
,With the trust and autonomy invested in me by the leadership, the state of the art infrastructure and a great team, I've done some of my best work at Deloitte;;;;;;;
I do think it depends where you end up and who you end up working with, but Accenture as a whole has come across as a firm that cares only about the profit;;;;;;;
 Individual growth, though encouraged in conversation, isn't truly supported outside of the rhetoric;;;;;;;
 This point itself was frustrating for me, who just came out of college hoping that a bigger firm with Accenture would allow for mobility and invest in training;;;;;;;
 I wasn't able to do either, despite constant articulation of my strong desires to do so;;;;;;;
 Accenture management will tell you that there are resources available for you to do trainings and learnings yourself, but most new hires are put onto projects with no real down-time to allow for such activities;;;;;;;
,A lot of smart, knowledgeable people work at Accenture, but most are above a certain age and few truly care about relaying that information to younger employees;;;;;;;
 The knowledge I gained on my project has come more from the client I work for than internally within Accenture, which shouldn't be the case for a firm that touts their strong company culture;;;;;;;
Pay is inconsistent with workload and there is an emphasis on quantity over quality;;;;;;;
I have learnt a lot and the people at Deloitte are always willing to assist where necessary;;;;;;;
,I have grown professionally and personally;;;;;;;
EY had an excellent work culture;;;;;;;
 Learned a lot about Team Work;;;;;;;
 The only problem was beyond the designation of Advanced Associate, promotions could happen only after 3-5 years of time;;;;;;;
I reported to numerous high profile executives, arranging their calendar, working independently and with my team;;;;;;;
 It was a very organized environment, which I enjoyed;;;;;;;
 The most enjoyable part of the job was that it was a very busy position;;;;;;;
Hours 9am-6pm, Time Management, and Progressive Software, Management was fair , Very nice Co-workers and Professional Staff on a whole, Most enjoyable part of the job is the Staff interactions, No day is typical;;;;;;;
 Hardest  part of job, knowing when to stop for the day(Me Personally);;;;;;;
1st job will teach u ever thing;;;;;;;
 how to behave to other and co-workers;;;;;;;
 google is a very good company, i like to work with them;;;;;;;
Emphasis in customer support;;;;;;;
 Great benefits and very fun;;;;;;;
 Outstanding HR department which is always in direct contact with you;;;;;;;
Great place to work;;;;;;;
,Great place to meet motivated people;;;;;;;
,The work culture pushes you to improve yourself as an individual and build a brand for yourself;;;;;;;
#NAME?;;;;;;;
,- Travelling to different sites to meet relevant staff and obtain documents and information;;;;;;;
,- Auditing different kind of companies (steelmaker, forklift assembler, wine company, Newspaper Company‰Û_);;;;;;;
Good work environment,Good People, interesting work i;;;;;;;
e Technical Support,Management was nice,Nightshifts and sometimes long hours,Helpful people;;;;;;;
It was year end and we had to book the journal before book closes;;;;;;;
,There was delay in data from sales and marketing (S&M) team, that's input for the journal;;;;;;;
 ,There were many steps needed to be followed before journal can be processed;;;;;;;
 Management was in continues follow-ups with S&M team;;;;;;;
 Team member was doing side steps;;;;;;;
 I got snacks for late staying team members;;;;;;;
 ,As it was very late, being team's manager I was trained on each activities, I given my hand for the activity and we ended day after 22 hours;;;;;;;
 It was like a major operation success;;;;;;;
 ,The enjoyable part is team hurdles and fun at work on Friday;;;;;;;
Nice team ,Good organization ,Work culture is good ,Good co ordination with the team,Nice place to work ,Learn lot of things ,Over all had good team spirit;;;;;;;
A good learning environment with emphasis on audit and accounting;;;;;;;
,The social aspect was the most enjoyable with co-workers who are just about the same age;;;;;;;
My over all professional work experience at Deloitte has been great and I would love to join back Deloitte if i get an opportunity;;;;;;;
I would like to look for an administrative / secretarial post with job security and more career development;;;;;;;
I enjoyed my work at Axa Equitable, I learned a lot about the life insurance policies;;;;;;;
 During the 15 years of working there the management changed about every 2 years;;;;;;;
 The hardest part of my job was during tax season from January to April, the work had to be done by April 15th;;;;;;;
 I enjoyed my co-workers;;;;;;;
If you love programming, everything will fall into place;;;;;;;
 Passive-Agressive culture is hard to adapt to at times;;;;;;;
One of the world's leading professional services organizations, helps companies across the globe to identify and capitalize on business opportunities;;;;;;;
Its a fantastic company to work with if some one has to settle down in the life with good salary irrespective of their role and profile;;;;;;;
 ,middle management has to come up with out of the box ideas and try to expand the business and scope instead of squeezing the subordinates for cost cutting and ideas;;;;;;;
,overall good work environment with pleasent ambience,;;;;;;;
I had learned a great deal of Google products and how they work to better an individuals work lifestyle;;;;;;;
 Every day you learn something new and you continue to grow your communication skills because not only are you learning to speak with different people around the world, but you also engage in troubleshooting their needs and collaborate with coworkers to fix the problem;;;;;;;
 Management was very professional, in addition they always check up on you to make sure you perform to company standards while coaching you on whatever skill(s) you need to improve on;;;;;;;
 Hardest part of the job was getting to memorize the policies and rules you had to enforce;;;;;;;
 While the most enjoyable part of the job is getting to walk around and explore the facility during break, having decent food for lunch, and just getting to know everyone was really fun;;;;;;;
Collected and categorized data of questionnaire to analyze and present results for market demand;;;;;;;
,Coordinated client relations through website communicating information between Microsoft Corporation and other cooperation;;;;;;;
Worked with teams that believed in work hard and play hard kind of culture;;;;;;;
 It was cut throat with a lot of pressure to meet the deadlines yet teams worked in unison to understand the interdependency and meet the uber objective of what's best for the company;;;;;;;
 Collaborate with Operations and other departments to develop, review, revise, and maintain the needed KPIs to support efficiency and compliance;;;;;;;
Deloitte is the basis of my career in terms of technical skills;;;;;;;
Worked for a year in the data center and it was very exciting, learned a lot;;;;;;;
 Management were ok but not wow;;;;;;;
EY is a great company, with great people, good pay and a lot of opportunities;;;;;;;
 I would recommend it to anyone pursuing a job in financial services;;;;;;;
Great company & benefits;;;;;;;
 Got acquired by them and they treated me well and had tons for resources to help me grow my skills;;;;;;;
Temporary employees for up to two years with no time off, sick days, or vacation time;;;;;;;
I have developed verity of solutions in different Domains;;;;;;;
 Learned so much, since Accenture provides very good external trainings and it is mandatory for all Microsoft employes to update himself into latest technology, I learned ASP;;;;;;;
NET with MVC, JQuery, JSON, HTML5, MS SQL Server BI etc;;;;;;;
,Work culture is also good;;;;;;;
,Few reasons for looking for new opportunity:-,1;;;;;;;
 Very limited learning for MS technology in my current project and want to switch the job only for good work,2;;;;;;;
 Additionally looking for company who can sponsor for my Green Card;;;;;;;
Interesting starting a Microsoft Practice in a slower moving environment;;;;;;;
 Again, they tended t get in there own way by not being able to allow individual prodictivity;;;;;;;
I learned a lot about computer software, customer service, and how to be helpful to others;;;;;;;
 A typical day included greeting visitors, communicating via email, and learning about computer technology;;;;;;;
 Everyone (guests and co-workers) were from all walks of life which was fascinating;;;;;;;
 Meeting so many new people and working for such a large company was challenging but fun;;;;;;;
Good Company, makes employees productive and people always moving forward;;;;;;;
Has good values and good work environment, the people there are fun to work with and there is lots of opportunities;;;;;;;
 The management focuses on overall growth of an individual and guide them in their path;;;;;;;
Not great like what you think it would be or could be;;;;;;;
 Management is very poor and the employee rating system is really screwed up;;;;;;;
Developed project management skills;;;;;;;
 Working with internal and external contract managers to develop action plans and work streams to mitigate the impact of the Olympic Games;;;;;;;
,Good supportive environment;;;;;;;
A good place to work and learn;;;;;;;
 A great work culture at job;;;;;;;
 Nothing to share as cons;;;;;;;
#NAME?;;;;;;;
 Delegate work, to avoid repetitive work;;;;;;;
 Finish day to day work and then help others if required;;;;;;;
,- I learnt how to handle a team, how to interact with clients, how to be a team player, prioritize my work, improved my computer and analytical skills;;;;;;;
,- My Co-workers are very knowledgeable, approachable, friendly and helpful;;;;;;;
,- Most enjoyable part of work is learning something new and socialising with co-workers;;;;;;;
Working at this company provided an opportunity to see various different industries while performing audit assignments;;;;;;;
 The company required all audit personnel to achieve the designation of certified public accountant;;;;;;;
 This designation was required in order to advance to a senior level position;;;;;;;
 Training was provided to afford employees with the tools necessary to advance;;;;;;;
Had very good time with my Co-workers;;;;;;;
,When my manager appreciates i feel happy;;;;;;;
,serving its clients and helping them solve their toughest problems;;;;;;;
It was a splendid experience to wok with one of the big 4;;;;;;;
 It was just like a dream come true;;;;;;;
 Had a learning experience;;;;;;;
 learned something or the other every single day;;;;;;;
 Learnt the skills to work for long duration hours and under pressure;;;;;;;
 A lot of pressure for deadlines etc;;;;;;;
Deloitte is a good place to start your career,but not a good place for experience professional;;;;;;;
Getting my feet wet as a hardware/software tester, this was a great place to start having no previous experience;;;;;;;
 The work wasn't the best, and due to the nature of it, the hours were very up and down;;;;;;;
 I got my feet wet here and learned alot about the games industry which pushed me to branch out into different areas/companies in search of the best fit for me;;;;;;;
good company, I like relationship with local peoples;;;;;;;
,good relationship with management;;;;;;;
I worked as part of a new team within office;;;;;;;
 The people I worked with were all friendly but there was a huge sense of pressure to meet deadlines, and daily feature meetings (as part of the switch to a more agile approach) meant your PM was always expecting a clear accounting of what was done and what was going to be done that day;;;;;;;
 This can be stressful for a programmer;;;;;;;
 However, the work was exactly what it should be and the pay was great so all in all a good experience;;;;;;;
A Chartered Accountant with three years of experience at a multinational private professional services organization with expertise in assurance, review, and compliance;;;;;;;
Deloitte is in general a very great company to work for;;;;;;;
 I value the relationships I build on a daily basis and providing excellent client service;;;;;;;
" The hardest part of the job is dealing with difficult clients; however I have acquired a degree of emotional intelligence";;;;;;;
 I have become very organised and efficient in my work life which has crossed over to my everyday life;;;;;;;
The position was very productive;;;;;;;
 Help manage wear house and help unload my drivers trucks;;;;;;;
 Interact with with a lot of people;;;;;;;
 Was constantly busy;;;;;;;
Inbound Call center- received 80-100 calls daily, Assisted with sorting incoming mail and provided information about the Work Opportunities for Tax credit Program;;;;;;;
 Answering questions, sending outgoing mail, faxes and solving problems with Store managers about the hiring process;;;;;;;
- There were no typical days: every project was very unique with specific objectives and tasks,- I was working within global and regional teams in major FMCG companies;;;;;;;
,- I learnt how to operate a best-practice organization,- I was interacting with all key organization functions: General management, Finance, Marketing, Sales, Supply Chain, Compliance etc;;;;;;;
,- My CP team was one of the most friendly, intelligent and respectful one to work with,- The hardest part was the long hours,- The most enjoyable part: new challenges, new opportunities, wide networking, traveling and youth spirit in everything;;;;;;;
Its a challenge place to work, as technology is evolving the products and services keep constantly changing;;;;;;;
,The people and the management helps you o develop your skills and develop your career;;;;;;;
 ,Since its a global company the prospects are unlimited;;;;;;;
challenges that really impact community, either puiblic or private environnement;;;;;;;
My journey with Accenture has been rewarding and this role gave me the opportunity to interact with HR professional from different geographies in Accenture;;;;;;;
 The role was challenging and offered an opportunity to learn;;;;;;;
Teamwork Athletic Apparel is nice place to work;;;;;;;
 I really enjoyed working there if they don't sent their jobs to over sea;;;;;;;
Get an opportunity to handle different clients in different industries, giving a great exposure in and out of different types of industries;;;;;;;
,Get an opportunity to work in different teams and under different managers and hence get an opportunity to interact with different people;;;;;;;
,The nature of job being Client-Faced, gives us great people management skills;;;;;;;
,great working environment;;;;;;;
toilet facilities were inadequate for the number of staff also had to share with the warehouse staff who took great pride in completely missing the bowl and getting it on the seat or the floor;;;;;;;
,was lied to by higher management about job security right up until the last moment, and even then they weren't 100% sure that redundancies were happening;;;;;;;
,I learned that management fixed the KPI's to better suit the NHS targets - illegal and immoral;;;;;;;
,Co-workers, mainly the one supervisor, loved to say one thing then do another - also found it in their interest to back up members of staff who didn't pull their weight against better performing colleagues, also loved to give out banter but couldn't ever take it back;;;;;;;
,HR dept;;;;;;;
 a complete joke - didn't know what they were doing at any time;;;;;;;
,The most enjoyable part of the job was when the ice creme man came;;;;;;;
good working environment and management very helpful;;;;;;;
 And its good learning for beginners too;;;;;;;
not engaged partners, no development roadmap, low morale,very process oriented environment,lacks innovation and structure;;;;;;;
nissan is a international brand, it is my plasure to work here , and learning so many things;;;;;;;
Mini shut down and repair work on boiler tubes, chopping out and re-inserting repairs for welding;;;;;;;
,Replacing baffle and floor plates that were damaged;;;;;;;
Fun place to work in, with corporate parties and learning;;;;;;;
,Each day has a new challenge and different types of projects in a team;;;;;;;
,The colleagues are very co-operative ;;;;;;;
Great career opportunities, but poor management, as they're not that supportive when a resource wants to shift from one workforce to another;;;;;;;
It was good;;;;;;;
 You definitely worked for you money;;;;;;;
 I really like working for Yates;;;;;;;
Solution Architect, Seisint Inc;;;;;;;
, Boca Raton, FL,Assigned as Project Manager supporting transition and operations and maintenance (O&M) efforts for Seisint, Inc;;;;;;;
 (Boca Raton, FL);;;;;;;
 Transition activities include on-boarding of new employees, managing the operational transition efforts, manage transition efforts of consume IT services and integrate new capabilities and tools to improve Service Level Agreement (SLAs) and performance expectation;;;;;;;
 Managed infrastructure modernization effort that focused on reducing O&M cost for managing separating network environments, with objectives to improve reduce operational risk, optimize security posture, provide scalable architectures for intranet communications, client hosting, research and development (R&D), and production environments;;;;;;;
,Project Manager, Office of the Comptroller for Currency,Managed Accenture information security team (consisting of members from various parts of the United States, Canada, and Saudi Arabia) responsible for providing subject matter expertise in IP LAN/WAN networking and employing technical security;;;;;;;
 Co-engineered end-to-end wired and wireless network management policies and procedures;;;;;;;
Deloitte is one of the Big Four accounting firms;;;;;;;
  There are a is a lot of opportunity for growth within the organization;;;;;;;
The job was always challenging and productive;;;;;;;
 The employees from managers to partners were all great people to work with day to day;;;;;;;
 Even though I had to commute to different offices, it was always great working for this company until they also did their restructuring;;;;;;;
Multiple Options to work in various locations across world;;;;;;;
